#      ux                      rho                   T                      P
311.5291383341740925   1.5761351906594472   254.8603261509205709   115326.4417839556845138
311.9169034911187737   1.5742791543228012   254.7401914910911103   115136.3369350861903513
313.5350647842047351   1.56650926915121     254.2363460764734953   114341.4774595565977506
314.2548342951927225   1.5630598180326953   254.0119954167403478   113989.0193312523188069
314.7760531079050565   1.5605738113249483   253.8503282649340917   113735.2892376534728101
315.1683141994428183   1.5587072672216831   253.7288341890738081   113544.8855132293683710
315.4453329774570989   1.5573916401299310   253.6431392871791957   113410.7314199914690107
315.6108133113071972   1.5566068043784353   253.5919938896255985   113330.7219677499087993
315.6657827559783982   1.5563462878334207   253.5750128194596016   113304.1671310968959006
314.8003975807047823   1.5620347626138664   253.8427025860004846   113838.3441813457902754
311.5376082237534661   1.5824090104280988   254.8577015982636453   115784.3073241459060227
314.8707517576491455   1.5663684854531086   253.8206614808906068   114144.2662923618336208
315.7841373539789060   1.5620092969488293   253.5378320793396085   113699.7682350672112079
314.9796890307123931   1.5734274727133342   253.7865230429605106   114643.2467985305265756
311.5602791552767599   1.6002805895329890   254.8506761064865032   117088.7366471576242475
313.7589753132848500   1.5895651666169339   254.1664639798893290   115992.4646655152173480
315.1165394517268510   1.5829667806180954   253.7436205241768619   115318.8030101832118817
315.8514708469609786   1.5794134766115455   253.5155802031992494   114956.5407528178038774
316.0936109422178788   1.5782455599271987   253.4405460185510037   114837.5356654659117339
315.2694409071095265   1.5946468922540629   253.6956639669154754   116147.7411095629504416
311.5866310185836028   1.6270601390976016   254.8425100818542433   119044.3182107963948511
315.4271481112260744   1.6080413290528972   253.6461757442021110   117100.4914830351917772
316.4899112460372521   1.6028129133186380   253.3158259863483011   116567.7324978670949349
315.5803106196830186   1.6226494947318815   253.5980899416495049   118141.8832712730218191
311.6091589178585082   1.6586863686636235   254.8355295960504918   121354.9361300646560267
311.6196730390929019   1.6586348820425905   254.8323595438308757   121349.6596398823603522
312.1022537772733472   1.6562008651621793   254.6826577280519359   121100.3986901849712012
313.3897178007016464   1.6496948942249745   254.2818814845656448   120434.8674453332205303
314.1425557731636218   1.6458836097917282   254.0466357698417994   120045.4657791151112178
314.6427260793072378   1.6433514724468188   253.8899874006331459   119786.8721385175158503
315.0540062703868216   1.6412783100596198   253.7617605959865159   119575.3336873257358093
315.4101585418826517   1.6394844469588594   253.6507611906621946   119392.3948140953725670
315.7220875969932763   1.6379146449252071   253.5535578588318231   119232.3675015621265629
315.9940661297363249   1.6365470062505163   253.4688190729422104   119092.9951917946164031
316.2282380301804778   1.6353703690611279   253.3958737278893238   118973.1213254570320714
316.4255332417251907   1.6343797105549158   253.3344280190186453   118872.2187678984773811
316.5866539580816266   1.6335711715369388   253.2842577770280457   118789.8820965631457511
316.7116645588695292   1.6329441570165231   253.2453382651957554   118726.0407327348075341
316.8009171738807481   1.6324966595998409   253.2175546906303225   118680.4827781682688510
316.8544250991217837   1.6322284497989858   253.2008997046009711   118653.1795188029209385
316.8722251936542875   1.6321392399936603   253.1953595895423348   118644.0984762810694519
315.8480807184440664   1.6532464741608750   253.5139666960031946   120329.6596536914003082
311.6250721985218775   1.6903422421243124   254.8305995843696508   123668.5911598810052965
315.9560641671605481   1.6680453289678654   253.4800221981588493   121390.5215498083853163
317.1807537436852726   1.6617722632360508   253.0980368854677067   120751.7615340022020973
316.0454241136381484   1.6817278318570781   253.4519232140978886   122372.6867143971321639
311.6351314917671402   1.7171943013709610   254.8274837745810544   125631.6017828052135883
314.3792168705414838   1.7028340460104558   253.9726344454101081   124163.0696985005779425
316.1165091798624189   1.6937521876119126   253.4295650466846155   123236.7793063839926617
317.0772493690051874   1.6887477749630282   253.1295949357245547   122727.2227485968178371
317.3955323095200924   1.6870925275179474   253.0302309898832220   122558.8017677363677649
316.1702473350270566   1.7036405236701022   253.4126596149732222   123947.9822572349366965
311.6403919907189675   1.73514306340231      254.8258547625641199   126943.9391260064439848
316.2076767971384470   1.7109992922066388   253.4008830239226313   124477.5828132104652468
317.5190641796301634   1.7040972901775415   252.9912110763700070   123775.0220498746930389
316.2297214096516313   1.7155352681383107   253.3939463812756401   124804.1648773752094712
311.6417488557070783   1.7414482909672422   254.8254347433695557   127405.0227486558287637
312.1838144820484899   1.7385788669167894   254.6573358123046091   127111.1886802844819613
314.4490389624296540   1.7265487346709287   253.9507921403055093   125881.4120485404419014
315.4766629473571697   1.7210926013652443   253.6291624417154082   125324.6838435712706996
316.2370006209570761   1.7170676109230054   253.3916557688650073   124914.5126951755228220
316.8172180228995671   1.7139998981439175   253.2103708222219609   124602.1320470839273185
317.2297087207415416   1.7118213099795523   253.0814826279534202   124380.4119880288344575
317.4766955407856130   1.7105178622871944   253.0043095478095836   124247.8049748986668419
317.5590513721301704   1.7100834112530174   252.9785771117096829   124203.6137975755555090
