1 0.97335
2 0.97479
3 0.98081
4 0.9835
5 0.98544
6 0.98691
7 0.98794
8 0.98856
9 0.98877
10 0.98554
11 0.97338
12 0.9858
13 0.98921
14 0.98621
15 0.97346
16 0.98165
17 0.98672
18 0.98946
19 0.99037
20 0.98729
21 0.97356
22 0.98788
23 0.99185
24 0.98845
25 0.97364
26 0.97368
27 0.97548
28 0.98027
29 0.98308
30 0.98495
31 0.98649
32 0.98782
33 0.98898
34 0.99
35 0.99088
36 0.99162
37 0.99222
38 0.99269
39 0.99302
40 0.99322
41 0.99329
42 0.98946
43 0.9737
44 0.98986
45 0.99445
46 0.9902
47 0.97374
48 0.98397
49 0.99046
50 0.99406
51 0.99525
52 0.99066
53 0.97376
54 0.9908
55 0.99572
56 0.99089
57 0.97376
58 0.97578
59 0.98423
60 0.98807
61 0.99091
62 0.99309
63 0.99463
64 0.99556
65 0.99587
